,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36288,4,,,2020-03-07,2020-03-07,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,2,0
36289,7,,,2020-03-08,2020-03-08,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,3,0
36290,9,,,2020-03-09,2020-03-09,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,2,0
36291,9,,,2020-03-10,2020-03-10,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36292,13,,,2020-03-11,2020-03-11,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,4,0
36293,13,,,2020-03-12,2020-03-12,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36294,19,,,2020-03-13,2020-03-13,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,6,0
36295,30,,,2020-03-14,2020-03-14,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,11,0
36296,32,,,2020-03-15,2020-03-15,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,2,1
36297,39,,,2020-03-16,2020-03-16,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,7,1
36298,50,,,2020-03-17,2020-03-17,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,11,1
36299,58,,,2020-03-18,2020-03-18,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,8,1
36300,73,,,2020-03-19,2020-03-19,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,15,1
36301,85,,,2020-03-20,2020-03-20,Europe,JHU CSSE Global Timeseries,2,,HUN,Hungary,HU,12,3
36302,103,,,2020-03-21,2020-03-21,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,18,4
36303,131,,,2020-03-22,2020-03-22,Europe,JHU CSSE Global Timeseries,2,,HUN,Hungary,HU,28,6
36304,167,,,2020-03-23,2020-03-23,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,36,7
36305,187,,,2020-03-24,2020-03-24,Europe,JHU CSSE Global Timeseries,2,,HUN,Hungary,HU,20,9
36306,226,,,2020-03-25,2020-03-25,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,39,10
36307,261,,,2020-03-26,2020-03-26,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,35,10
36308,300,,,2020-03-27,2020-03-27,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,39,10
36309,343,,,2020-03-28,2020-03-28,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,43,11
36310,408,,,2020-03-29,2020-03-29,Europe,JHU CSSE Global Timeseries,2,,HUN,Hungary,HU,65,13
36311,447,,,2020-03-30,2020-03-30,Europe,JHU CSSE Global Timeseries,2,,HUN,Hungary,HU,39,15
36312,492,,,2020-03-31,2020-03-31,Europe,JHU CSSE Global Timeseries,1,,HUN,Hungary,HU,45,16
36313,525,,,2020-04-01,2020-04-01,Europe,JHU CSSE Global Timeseries,4,,HUN,Hungary,HU,33,20
